"SC_ID","et"
1,785
2,822
3,918
4,907
5,809
6,976
7,838
8,939
9,939
10,939
11,814
12,741
13,674
14,719
15,715
16,742
17,674
18,637
19,681
20,591
21,614
22,620
23,608
24,658
25,617
26,583
27,581
28,581
29,563
30,569
31,602
32,599
33,587
34,547
35,626
36,605
37,600
38,607
39,587
40,554
41,609
42,635
43,767
44,613
45,608
46,586
47,576
48,821
49,776
50,662
51,624
52,605
53,509
54,527
55,499
56,553
57,541
58,561
59,572
60,572
61,584
62,572
63,604
64,575
65,594
66,576
67,648
68,664
69,666
70,614
71,637
72,636
73,825
74,863
75,1230
76,584
77,614
78,878
79,870
80,886
81,777
82,849
83,884
84,756
85,852
86,640
87,637
88,679
89,598
90,603
91,577
92,585
93,600
94,589
95,654
96,639
97,583
98,602
99,830
100,874
101,864
102,868
103,884
104,583
105,594
106,578
107,569
108,779
109,708
110,838
111,577
112,563
113,584
114,564
115,675
116,671
117,622
118,767
119,598
120,600
121,596
122,603
123,614
124,639
