"SC_ID","et"
1,749
2,785
3,877
4,870
5,785
6,950
7,806
8,911
9,911
10,911
11,781
12,709
13,648
14,692
15,689
16,718
17,648
18,615
19,656
20,565
21,591
22,596
23,583
24,623
25,577
26,552
27,556
28,556
29,535
30,533
31,573
32,569
33,556
34,513
35,592
36,575
37,567
38,577
39,557
40,521
41,574
42,602
43,725
44,580
45,584
46,561
47,549
48,776
49,735
50,631
51,597
52,578
53,481
54,499
55,474
56,525
57,514
58,530
59,542
60,546
61,558
62,542
63,572
64,543
65,555
66,539
67,618
68,634
69,635
70,585
71,607
72,599
73,783
74,826
75,1175
76,556
77,581
78,841
79,836
80,847
81,750
82,816
83,855
84,728
85,826
86,617
87,616
88,652
89,570
90,574
91,549
92,558
93,569
94,557
95,624
96,611
97,557
98,572
99,787
100,840
101,829
102,831
103,846
104,557
105,567
106,547
107,537
108,735
109,670
110,793
111,543
112,532
113,554
114,533
115,633
116,631
117,594
118,726
119,570
120,564
121,560
122,567
123,585
124,605
