"SC_ID","rh"
1,336
2,352
3,391
4,389
5,348
6,419
7,359
8,403
9,403
10,403
11,348
12,318
13,290
14,310
15,309
16,320
17,290
18,272
19,293
20,255
21,264
22,266
23,260
24,287
25,275
26,258
27,250
28,250
29,240
30,253
31,258
32,265
33,261
34,244
35,277
36,268
37,263
38,269
39,260
40,246
41,270
42,280
43,332
44,268
45,263
46,255
47,250
48,355
49,333
50,286
51,270
52,262
53,220
54,228
55,216
56,240
57,234
58,240
59,247
60,248
61,254
62,248
63,258
64,246
65,256
66,246
67,278
68,288
69,287
70,265
71,272
72,272
73,349
74,369
75,522
76,250
77,262
78,375
79,372
80,377
81,333
82,364
83,379
84,325
85,366
86,276
87,276
88,292
89,256
90,258
91,247
92,250
93,257
94,252
95,281
96,276
97,250
98,261
99,359
100,375
101,371
102,369
103,376
104,250
105,254
106,254
107,249
108,337
109,309
110,355
111,253
112,250
113,259
114,250
115,289
116,285
117,266
118,328
119,256
120,257
121,256
122,258
123,265
124,277
