"SC_ID","rh"
1,321
2,336
3,376
4,373
5,336
6,407
7,346
8,390
9,390
10,390
11,335
12,304
13,278
14,296
15,295
16,308
17,278
18,264
19,281
20,242
21,253
22,255
23,250
24,267
25,247
26,237
27,238
28,238
29,229
30,228
31,246
32,244
33,238
34,220
35,254
36,246
37,243
38,247
39,239
40,223
41,246
42,258
43,311
44,248
45,250
46,240
47,235
48,333
49,315
50,270
51,256
52,248
53,206
54,214
55,203
56,225
57,220
58,227
59,232
60,234
61,239
62,232
63,245
64,233
65,238
66,231
67,265
68,272
69,272
70,251
71,260
72,257
73,336
74,354
75,504
76,238
77,249
78,361
79,358
80,363
81,321
82,350
83,367
84,312
85,354
86,264
87,264
88,280
89,244
90,246
91,235
92,239
93,244
94,239
95,267
96,262
97,239
98,245
99,337
100,360
101,355
102,356
103,363
104,239
105,243
106,234
107,230
108,315
109,287
110,340
111,233
112,228
113,237
114,228
115,271
116,271
117,255
118,311
119,244
120,242
121,240
122,243
123,251
124,259
