"SC_ID","pr"
1,1122
2,1174
3,1312
4,1295
5,1156
6,1395
7,1198
8,1342
9,1342
10,1342
11,1162
12,1058
13,963
14,1026
15,1021
16,1061
17,963
18,911
19,974
20,844
21,877
22,885
23,869
24,940
25,881
26,832
27,830
28,830
29,804
30,812
31,860
32,856
33,839
34,781
35,894
36,865
37,858
38,867
39,838
40,791
41,870
42,907
43,1096
44,876
45,868
46,838
47,823
48,1173
49,1108
50,946
51,892
52,864
53,727
54,753
55,713
56,790
57,773
58,801
59,817
60,817
61,835
62,817
63,863
64,821
65,848
66,823
67,926
68,949
69,952
70,877
71,910
72,908
73,1178
74,1233
75,1757
76,834
77,877
78,1254
79,1243
80,1265
81,1111
82,1213
83,1263
84,1079
85,1217
86,914
87,910
88,970
89,855
90,861
91,824
92,836
93,857
94,841
95,935
96,913
97,833
98,860
99,1186
100,1248
101,1234
102,1240
103,1263
104,833
105,848
106,826
107,813
108,1112
109,1012
110,1197
111,824
112,804
113,835
114,806
115,964
116,959
117,888
118,1096
119,855
120,856
121,852
122,861
123,877
124,913
