"SC_ID","pr"
1,1121
2,1173
3,1303
4,1298
5,1160
6,1395
7,1195
8,1343
9,1343
10,1343
11,1159
12,1058
13,965
14,1034
15,1030
16,1068
17,965
18,907
19,978
20,848
21,881
22,888
23,867
24,956
25,917
26,859
27,832
28,832
29,801
30,843
31,860
32,885
33,869
34,813
35,922
36,893
37,875
38,896
39,866
40,821
41,900
42,932
43,1108
44,893
45,878
46,848
47,834
48,1183
49,1109
50,953
51,899
52,874
53,735
54,761
55,721
56,799
57,781
58,802
59,824
60,826
61,846
62,827
63,861
64,820
65,852
66,819
67,926
68,959
69,956
70,882
71,906
72,908
73,1165
74,1230
75,1741
76,832
77,872
78,1249
79,1239
80,1258
81,1111
82,1214
83,1265
84,1085
85,1220
86,920
87,921
88,974
89,853
90,860
91,822
92,833
93,856
94,840
95,936
96,921
97,832
98,869
99,1198
100,1249
101,1237
102,1230
103,1252
104,832
105,846
106,846
107,830
108,1125
109,1030
110,1183
111,845
112,833
113,863
114,834
115,962
116,952
117,886
118,1093
119,853
120,858
121,852
122,862
123,882
124,923
