"SC_ID","et"
1,810
2,867
3,948
4,956
5,843
6,1015
7,870
8,973
9,973
10,973
11,845
12,770
13,704
14,751
15,748
16,777
17,704
18,666
19,713
20,621
21,644
22,651
23,637
24,680
25,644
26,606
27,607
28,607
29,582
30,597
31,617
32,630
33,617
34,574
35,658
36,636
37,629
38,638
39,616
40,580
41,634
42,655
43,782
44,635
45,637
46,614
47,598
48,835
49,795
50,683
51,647
52,627
53,534
54,555
55,527
56,579
57,567
58,583
59,598
60,596
61,612
62,594
63,625
64,598
65,612
66,594
67,675
68,690
69,693
70,635
71,662
72,657
73,839
74,869
75,1232
76,603
77,630
78,912
79,906
80,919
81,809
82,887
83,918
84,789
85,885
86,672
87,669
88,700
89,615
90,618
91,599
92,605
93,621
94,615
95,682
96,662
97,606
98,627
99,843
100,915
101,910
102,895
103,910
104,604
105,612
106,601
107,591
108,793
109,725
110,851
111,602
112,591
113,615
114,593
115,691
116,692
117,645
118,786
119,615
120,623
121,618
122,625
123,635
124,662
