"SC_ID","et"
1,892
2,925
3,1005
4,1017
5,901
6,1079
7,931
8,1033
9,1033
10,1033
11,896
12,819
13,750
14,798
15,795
16,826
17,750
18,708
19,759
20,674
21,694
22,698
23,681
24,760
25,733
26,693
27,664
28,664
29,637
30,694
31,676
32,726
33,709
34,674
35,745
36,731
37,711
38,732
39,719
40,682
41,736
42,762
43,882
44,743
45,708
46,693
47,673
48,934
49,893
50,773
51,723
52,704
53,601
54,627
55,599
56,663
57,651
58,665
59,670
60,673
61,685
62,676
63,696
64,651
65,661
66,642
67,747
68,770
69,771
70,717
71,720
72,715
73,908
74,954
75,1312
76,660
77,705
78,972
79,968
80,976
81,868
82,953
83,977
84,837
85,948
86,720
87,720
88,776
89,674
90,677
91,655
92,663
93,691
94,663
95,756
96,746
97,663
98,698
99,944
100,978
101,971
102,961
103,977
104,663
105,671
106,683
107,675
108,894
109,827
110,926
111,706
112,693
113,714
114,695
115,754
116,747
117,705
118,849
119,674
120,679
121,675
122,682
123,717
124,743
