"SC_ID","pr"
1,1275
2,1321
3,1436
4,1453
5,1287
6,1541
7,1330
8,1476
9,1476
10,1476
11,1280
12,1170
13,1071
14,1140
15,1136
16,1180
17,1071
18,1011
19,1084
20,962
21,991
22,998
23,973
24,1085
25,1047
26,989
27,948
28,948
29,910
30,992
31,966
32,1037
33,1012
34,963
35,1064
36,1044
37,1015
38,1045
39,1027
40,974
41,1051
42,1089
43,1261
44,1062
45,1011
46,990
47,962
48,1334
49,1275
50,1104
51,1032
52,1006
53,858
54,895
55,856
56,947
57,931
58,950
59,957
60,961
61,979
62,965
63,994
64,929
65,944
66,917
67,1067
68,1100
69,1101
70,1024
71,1028
72,1021
73,1297
74,1363
75,1874
76,943
77,1007
78,1389
79,1383
80,1395
81,1241
82,1361
83,1396
84,1196
85,1354
86,1029
87,1028
88,1109
89,963
90,968
91,935
92,947
93,987
94,948
95,1080
96,1066
97,948
98,997
99,1348
100,1397
101,1387
102,1372
103,1396
104,947
105,959
106,976
107,964
108,1277
109,1182
110,1323
111,1008
112,990
113,1021
114,993
115,1078
116,1067
117,1007
118,1212
119,963
120,970
121,964
122,974
123,1024
124,1062
