"SC_ID","pr"
1,1156
2,1238
3,1354
4,1366
5,1204
6,1451
7,1243
8,1390
9,1390
10,1390
11,1207
12,1100
13,1006
14,1073
15,1068
16,1110
17,1006
18,952
19,1018
20,887
21,921
22,930
23,910
24,971
25,919
26,865
27,867
28,867
29,832
30,853
31,881
32,899
33,882
34,819
35,939
36,909
37,898
38,912
39,880
40,829
41,905
42,936
43,1117
44,908
45,909
46,877
47,854
48,1192
49,1135
50,976
51,924
52,895
53,763
54,793
55,752
56,828
57,811
58,833
59,854
60,851
61,874
62,849
63,893
64,854
65,874
66,849
67,964
68,986
69,990
70,908
71,946
72,939
73,1198
74,1242
75,1761
76,861
77,900
78,1304
79,1294
80,1313
81,1156
82,1268
83,1312
84,1127
85,1264
86,960
87,955
88,1000
89,878
90,882
91,856
92,865
93,887
94,878
95,974
96,945
97,866
98,895
99,1205
100,1307
101,1300
102,1279
103,1300
104,863
105,874
106,859
107,845
108,1134
109,1036
110,1216
111,860
112,845
113,878
114,848
115,987
116,988
117,922
118,1124
119,878
120,890
121,883
122,893
123,908
124,946
