"SC_ID","rh"
1,323
2,340
3,380
4,373
5,338
6,409
7,348
8,393
9,393
10,393
11,336
12,305
13,279
14,299
15,298
16,310
17,279
18,266
19,284
20,245
21,256
22,258
23,252
24,267
25,244
26,234
27,241
28,241
29,230
30,226
31,246
32,243
33,238
34,218
35,253
36,244
37,244
38,246
39,236
40,220
41,242
42,253
43,307
44,247
45,250
46,240
47,235
48,330
49,315
50,269
51,254
52,246
53,206
54,214
55,202
56,225
57,220
58,228
59,233
60,233
61,240
62,229
63,244
64,230
65,234
66,227
67,265
68,272
69,273
70,249
71,259
72,254
73,330
74,349
75,498
76,239
77,252
78,365
79,362
80,367
81,324
82,354
83,370
84,314
85,357
86,268
87,267
88,279
89,245
90,247
91,237
92,240
93,242
94,236
95,268
96,260
97,240
98,244
99,334
100,365
101,358
102,360
103,366
104,240
105,243
106,233
107,229
108,312
109,283
110,337
111,233
112,226
113,237
114,227
115,267
116,266
117,252
118,309
119,245
120,240
121,237
122,240
123,249
124,259
