"SC_ID","rh"
1,310
2,332
3,369
4,369
5,330
6,403
7,341
8,385
9,385
10,385
11,330
12,300
13,274
14,292
15,290
16,301
17,274
18,259
19,277
20,238
21,249
22,251
23,245
24,256
25,233
26,224
27,234
28,234
29,225
30,215
31,242
32,233
33,228
34,207
35,244
36,236
37,236
38,236
39,228
40,210
41,232
42,243
43,296
44,235
45,243
46,231
47,226
48,317
49,302
50,259
51,247
52,239
53,202
54,210
55,198
56,221
57,216
58,222
59,228
60,228
61,233
62,223
63,236
64,222
65,225
66,217
67,253
68,258
69,259
70,236
71,251
72,242
73,319
74,337
75,486
76,234
77,244
78,354
79,351
80,357
81,314
82,343
83,361
84,307
85,348
86,260
87,258
88,269
89,240
90,242
91,231
92,235
93,234
94,226
95,255
96,247
97,234
98,231
99,321
100,354
101,351
102,346
103,352
104,234
105,238
106,225
107,220
108,300
109,272
110,325
111,222
112,216
113,226
114,217
115,258
116,256
117,244
118,298
119,240
120,227
121,225
122,228
123,236
124,244
